Query ID,Query,Min GT Rank,GT Doc ID,GT Doc,nDCG@10,nDCG@100,Recall@10,Recall@100,Pred Rank,Pred Doc ID,Pred Score,Pred Doc,GT Grade
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,1,3620986,16.452258825302124,"Robert Grey (born 21 April 1951 in Marefield, Leicestershire) is an English musician best known as the drummer for Wire. In 1973, Grey joined his first band, an R&B group called the Snakes, as vocalist. The Snakes released one single: Teenage Head.. After the group folded, Grey began teaching himself to drum. He has been Wire 's regular drummer since their start in 1976, using the stage name 'Robert Gotobed'.",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,2,3620983,14.660184144973755,"I'm not a politician, said Gray in a Wednesday interview. I'm not a person who really wanted to run for Governor.. Robert Gray is 46-year-old truck driver. That schedule prevented him from campaigning, aside from a couple of small events. He also didn't fundraise at all. So with no money in the campaign bank, a man who admits he usually shies away from attention, clinched the nomination. It doesn't take a brain surgeon to do what needs to be done in the state of Mississippi, explained Gray. Gray wants to see more money brought into the state.",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,3,8760866,14.616095781326294,"Robert Gray was the Democratic candidate for governor of Mississippi in the 2015 elections. Gray won the Democratic primary on August 4, 2015, and was defeated by incumbent Governor Phil Bryant (R) in the general election on November 3, 2015. Gray is a truck driver and former firefighter. He gained national attention for admitting that he did not vote in the August 4, 2015, primary, saying, I was in Jackson and had to do a lot of stuff and just lost track of time, to tell you the truth.. Gray made the following statement about his primary victory:",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,4,8760871,14.570951461791992,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",3
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,5,2787508,14.178860664367676,"Who is Henry Gray? Henry Gray is an African-American blues piano player and singer. He has been playing for more than seven decades, and has played with a multitude of artists including Robert Lockwood, Jr., Billy Boy Arnold, Morris Pejoe, the Rolling Stones, Muddy Waters and Howlin' Wolf among many others.",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,6,4157319,13.589494705200195,"Charles Grey, 1st Earl Grey KB PC (circa 23 October 1729 – 14 November 1807) was a British general of the 18th century. He was the fourth son of Sir Henry Grey, 1st Baronet, of Howick in Northumberland.He served in the Seven Years' War, American War of Independence and French Revolutionary War. Following the Battle of Paoli in 1777 he became known as No-flint Grey.His eldest son was the Prime Minister Charles Grey, 2nd Earl Grey.is exact birthdate is unknown, but he was baptized 23 October 1729, so he was probably born in October. His father was Henry Grey (later Sir Henry Grey, first baronet of Howick) and his mother was Hannah Grey (nee Née). wood",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,7,2360245,13.35125207901001,John Gray (philosopher) John Nicholas Gray (born 17 April 1948) is an English political philosopher with interests in analytic philosophy and the history of ideas. He retired in 2008 as School Professor of European Thought at the London School of Economics and Political Science.,0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,8,8780810,13.200663566589355,"Michael Gray was born on September 2, 1951 in Chicago, Illinois, USA. He is an actor, known for Shazam! (1974), Bobby Jo and the Good Time Band (1972) and Our Time (1974). He has been married to Stacy Benon since 1994. Owned a florist shop with his wife that catered to numerous celebrities.",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,9,8760867,13.156669855117798,"Robert Gray. A surprise came on the Democratic side in the race for Mississippi Governor. Robert Gray, a retired firefighter and truck driver, is the democratic nominee who admitted to the Associated Press that he didn't even vote in Tuesday's election.",0
1037798,who is robert gray,4,8760871,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River.",0.14505893889435997,0.14505893889435997,0.14285714285714285,0.14285714285714285,10,8760870,13.156669855117798,"Source: Courtney Ann Jackson/Twitter. JACKSON, MS (Mississippi News Now) -. A surprise came on the Democratic side in the race for Mississippi Governor. Robert Gray, a retired firefighter and truck driver, is the democratic nominee who admitted to the Associated Press that he didn't even vote in Tuesday's election.",0
